Dataset	Id	SpecFile	LocalSpecIdx	Scan	LocalPeptideIdx	Name	Score	P-Value	PeptideMass	SpectrumMass	Retention	Adduct	Charge	FScore	MolFile	Family	Structure
MSV000078556	0	REG_fdr0_spectra/MSV000078556.mgf	0	0	8568	L-Valyl-L-leucyl-L-prolyl-L-valyl-L-prol	9	1.5e-21	651.396	652.403	155.54399999999998	M+H	1	20.82390874094432	combined_db/mol_dir/antimarin2012_54685.mol	423	linear
MSV000078556	1	REG_fdr0_spectra/MSV000078556.mgf	1	1	8568	L-Valyl-L-leucyl-L-prolyl-L-valyl-L-prol	9	1.2e-22	651.396	652.406	156.215	M+H	1	21.920818753952375	combined_db/mol_dir/antimarin2012_54685.mol	423	linear
MSV000078556	2	REG_fdr0_spectra/MSV000078556.mgf	2	2	8568	L-Valyl-L-leucyl-L-prolyl-L-valyl-L-prol	9	1.2e-16	651.396	652.406	157.319	M+H	1	15.920818753952375	combined_db/mol_dir/antimarin2012_54685.mol	423	linear
MSV000078556	3	REG_fdr0_spectra/MSV000078556.mgf	3	3	8363	a-Substance_Ib	8	3.4e-14	685.3910000000001	343.705	171.40099999999998	M+2H	2	13.468521082957745	combined_db/mol_dir/antimarin2012_37467.mol	543	linear
MSV000078556	4	REG_fdr0_spectra/MSV000078556.mgf	4	4	8568	L-Valyl-L-leucyl-L-prolyl-L-valyl-L-prol	8	7.699999999999999e-14	651.396	326.70599999999996	156.741	M+2H	2	13.113509274827518	combined_db/mol_dir/antimarin2012_54685.mol	423	linear
MSV000078556	5	REG_fdr0_spectra/MSV000078556.mgf	5	5	8568	L-Valyl-L-leucyl-L-prolyl-L-valyl-L-prol	8	1.3e-16	651.396	652.406	153.423	M+H	1	15.886056647693163	combined_db/mol_dir/antimarin2012_54685.mol	423	linear
MSV000078556	6	REG_fdr0_spectra/MSV000078556.mgf	6	6	8568	L-Valyl-L-leucyl-L-prolyl-L-valyl-L-prol	7	1.4e-15	651.396	652.405	151.335	M+H	1	14.853871964321762	combined_db/mol_dir/antimarin2012_54685.mol	423	linear
MSV000078556	7	REG_fdr0_spectra/MSV000078556.mgf	7	7	8568	L-Valyl-L-leucyl-L-prolyl-L-valyl-L-prol	7	3.7000000000000006e-14	651.396	652.409	152.328	M+H	1	13.431798275933005	combined_db/mol_dir/antimarin2012_54685.mol	423	linear
MSV000078556	8	REG_fdr0_spectra/MSV000078556.mgf	8	8	8568	L-Valyl-L-leucyl-L-prolyl-L-valyl-L-prol	9	6.1e-20	651.396	652.404	158.489	M+H	1	19.214670164989233	combined_db/mol_dir/antimarin2012_54685.mol	423	linear
MSV000078556	9	REG_fdr0_spectra/MSV000078556.mgf	9	9	8568	L-Valyl-L-leucyl-L-prolyl-L-valyl-L-prol	8	3.2000000000000003e-19	651.396	652.406	157.392	M+H	1	18.494850021680094	combined_db/mol_dir/antimarin2012_54685.mol	423	linear
