Dataset	Id	SpecFile	LocalSpecIdx	Scan	LocalPeptideIdx	Name	Score	P-Value	PeptideMass	SpectrumMass	Retention	Adduct	Charge	FScore	MolFile	Family	Structure
MSV000079450	305	REG_fdr0_spectra/MSV000079450.mgf	305	305	8568	L-Valyl-L-leucyl-L-prolyl-L-valyl-L-prol	9	5.499999999999999e-26	651.396	652.403	72.374	M+H	1	25.259637310505756	combined_db/mol_dir/antimarin2012_54685.mol	423	linear
MSV000078635	11	REG_fdr0_spectra/MSV000078635.mgf	11	11	8568	L-Valyl-L-leucyl-L-prolyl-L-valyl-L-prol	9	5.499999999999999e-26	651.396	652.403	72.374	M+H	1	25.259637310505756	combined_db/mol_dir/antimarin2012_54685.mol	423	linear
MSV000079450	932	REG_fdr0_spectra/MSV000079450.mgf	932	932	8568	L-Valyl-L-leucyl-L-prolyl-L-valyl-L-prol	9	2.6e-25	651.396	652.394	76.422	M+H	1	24.585026652029182	combined_db/mol_dir/antimarin2012_54685.mol	423	linear
MSV000079450	278	REG_fdr0_spectra/MSV000079450.mgf	278	278	8568	L-Valyl-L-leucyl-L-prolyl-L-valyl-L-prol	9	6.4e-25	651.396	652.39	42.695	M+H	1	24.193820026016112	combined_db/mol_dir/antimarin2012_54685.mol	423	linear
MSV000078635	278	REG_fdr0_spectra/MSV000078635.mgf	278	278	8568	L-Valyl-L-leucyl-L-prolyl-L-valyl-L-prol	9	6.4e-25	651.396	652.39	42.695	M+H	1	24.193820026016112	combined_db/mol_dir/antimarin2012_54685.mol	423	linear
MSV000078603	20	REG_fdr0_spectra/MSV000078603.mgf	20	20	8568	L-Valyl-L-leucyl-L-prolyl-L-valyl-L-prol	9	6.2e-20	651.396	326.698	205.50799999999998	M+2H	2	19.207608310501747	combined_db/mol_dir/antimarin2012_54685.mol	423	linear
MSV000079151	6	REG_fdr0_spectra/MSV000079151.mgf	6	6	8568	L-Valyl-L-leucyl-L-prolyl-L-valyl-L-prol	9	2.1e-19	651.396	326.705	216.91099999999997	M+2H	2	18.67778070526608	combined_db/mol_dir/antimarin2012_54685.mol	423	linear
MSV000078556	61	REG_fdr0_spectra/MSV000078556.mgf	61	61	8568	L-Valyl-L-leucyl-L-prolyl-L-valyl-L-prol	11	1.2e-18	651.396	326.714	158.201	M+2H	2	17.920818753952375	combined_db/mol_dir/antimarin2012_54685.mol	423	linear
MSV000079151	29	REG_fdr0_spectra/MSV000079151.mgf	29	29	8568	L-Valyl-L-leucyl-L-prolyl-L-valyl-L-prol	10	1.9e-18	651.396	326.70599999999996	214.548	M+2H	2	17.72124639904717	combined_db/mol_dir/antimarin2012_54685.mol	423	linear
MSV000078556	73	REG_fdr0_spectra/MSV000078556.mgf	73	73	8568	L-Valyl-L-leucyl-L-prolyl-L-valyl-L-prol	9	3.4000000000000004e-18	651.396	326.711	142.411	M+2H	2	17.468521082957746	combined_db/mol_dir/antimarin2012_54685.mol	423	linear
MSV000078603	285	REG_fdr0_spectra/MSV000078603.mgf	285	285	8363	a-Substance_Ib	7	1.1e-15	685.3910000000001	686.383	225.47400000000002	M+H	1	14.958607314841775	combined_db/mol_dir/antimarin2012_37467.mol	543	linear
MSV000078603	515	REG_fdr0_spectra/MSV000078603.mgf	515	515	8363	a-Substance_Ib	7	3.4e-13	685.3910000000001	686.3919999999999	214.03099999999998	M+H	1	12.468521082957745	combined_db/mol_dir/antimarin2012_37467.mol	543	linear
MSV000079820	2	REG_fdr0_spectra/MSV000079820.mgf	2	2	8363	a-Substance_Ib	7	4.3000000000000004e-13	685.3910000000001	686.398	114.94200000000001	M+H	1	12.366531544420413	combined_db/mol_dir/antimarin2012_37467.mol	543	linear
MSV000078603	281	REG_fdr0_spectra/MSV000078603.mgf	281	281	8363	a-Substance_Ib	9	3.3999999999999997e-19	685.3910000000001	343.695	226.666	M+2H	2	18.468521082957746	combined_db/mol_dir/antimarin2012_37467.mol	543	linear
